"max.pop","max.pop.time","max.I","max.I.time","last.I.time","max.prev","total.I","max.inc","time.max.inc","max.spread","max.number.I.cells","max.spread.area","final.avg.prion.density","final.I","final.pop","final.prev","final.spread","final.number.I.cells","final.spread.area","final.max.sp.cent","final.E","final.I.cells","final.E.cells","final.surv.prev","final.prions.area","final.prop.inf.cells","final.prop.ID50.cells","prop.ID50.infcells","prions.gamma.shape","prions.gamma.rate","final.SS.S.prop","final.SS.E.prop","final.SS.I.prop","spread.area.rate","spread.dist.rate","spread.distcent.rate","mean.E.dist","std.E.dist","mean.I.dist","std.I.dist","mean.prev.rate","mean.inf.fams.prev","mean.chull.fams.prev","mean.inf.fams.prev.I","mean.chull.fams.prev.I"
102141,210,18,23,60,0.000305978826265222,102,7,33,2.82842712474619,3,5.445,6.18827308147674e-07,0,82348,0,0,0,0,0,0,0,0,0,3,2.9045643153527e-06,0,0,0.0414678365183223,47.5201070577379,0.994296577946768,0.00380228136882129,0.00190114068441065,-0.0113912133891213,0,-0.00591721155804642,NA,NA,NA,NA,-8.41304235255922e-08,NA,NA,NA,NA
102269,150,14,21,36,0.000221702180071437,49,6,10,2.82842712474619,4,5.445,3.3823431494181e-07,0,81908,0,0,0,0,0,0,0,0,0,2,2.0746887966805e-06,0,0,NA,NA,1,0,0,-0.0227824267782427,-0.00418410041841004,-0.00418410041841004,NA,NA,NA,NA,-8.42447633876302e-08,NA,NA,NA,NA
102084,90,3390,237,240,0.051266137040715,19198,1114,234,59.7745765355138,490,1874,0.00166303360114633,3253,80560,0.051266137040715,59.7745765355138,490,1874,36.3593179253957,877,613,421,0.0328947368421053,1850,0.000274688796680498,0,0,0.138235920394588,5.38155309380769,0.937106918238994,0.0272536687631027,0.0356394129979036,7.8296129707113,0.250102830692526,0.152131037344752,16.5566599532963,7.65836326405485,15.7845815752732,7.36426203928414,0.000214291415522175,0.84651864975864,0.276716917922948,0.692485642703146,0.217956448911223
102246,78,1890,239,240,0.0291696717839521,9220,631,234,43.1856457633784,260,961.5,0.00077234931798037,1836,81485,0.0288028471497822,43.1856457633784,257,961.5,37.2021504754766,511,326,229,0.0188421052631579,961,0.000138589211618257,0,0,0.103286023893184,4.36718787324136,0.960144927536232,0.0181159420289855,0.0217391304347826,4.01162133891213,0.180693078507859,0.155657533370195,17.1305882416525,8.95489054546948,17.1179581168311,8.75425456665682,0.000120471392090251,0.869518207231183,0.280976894528912,0.70810081372257,0.219801269005148
102406,126,2611,238,240,0.0385227202663543,12558,864,234,48.0520551069359,335,1350.5,0.0011470153761078,2513,81095,0.0385227202663543,48.0520551069359,335,1350.5,30.0166620396073,611,438,281,0.0253684210526316,1250,0.000180912863070539,0,0,0.145706223647438,5.37757459509056,0.981818181818182,0,0.0181818181818182,5.63923640167364,0.201054623878393,0.125592728199194,11.7253011718411,5.45905695437924,11.5040074304931,5.60384023915542,0.000161098719132224,0.867576200009393,0.27502420987763,0.722344584157138,0.22123426357954
102180,66,2506,238,240,0.0374263516100742,13795,821,234,53.0754180388624,353,1485,0.00116500523295537,2366,80959,0.0374263516100742,53.0754180388624,353,1246,30.0166620396073,664,448,288,0.0263684210526316,1514.5,0.000190871369294606,0,0,0.169601812902663,6.58770515604938,0.962199312714777,0.0103092783505155,0.0274914089347079,5.20199790794979,0.222072878823692,0.125592728199194,14.9276187562722,6.85257018365963,13.6924954227914,6.36773447984265,0.000156553098134482,0.848296184555982,0.290174296111856,0.699493333280493,0.226584945412756
102385,90,179,239,240,0.00268011597592769,475,54,234,5.3851648071345,16,17,5.06214631055843e-05,176,82086,0.00268011597592769,5.3851648071345,16,17,3.60555127546399,44,27,19,0.00110526315789474,17,7.46887966804979e-06,0,0,0.100417023622134,3.42812672755488,1,0,0,0.0597384937238494,0.0225320703227385,0.0150859886002677,2.4289461136302,0.846699302669355,2.2936758482718,0.830995227758091,1.11717786931998e-05,0.832690226440226,0.510440835266821,0.676712523587524,0.408352668213457
102073,138,4123,237,240,0.0613851980550729,22378,1406,234,52.1536192416212,531,1475,0.0020586518296195,3941,80003,0.0613851980550729,52.1536192416212,531,1475,31.7804971641414,970,704,454,0.0403684210526316,1473.5,0.000302904564315353,0,0,0.185055247063217,6.46825337864072,0.902542372881356,0.0360169491525424,0.0614406779661017,6.16015690376569,0.218215980090465,0.132972791481763,15.900223512208,7.02330291645062,15.4183239918737,6.77034375310541,0.000256800099117963,0.908074478111563,0.455819565620939,0.754137045596195,0.365788008167811
102068,114,3522,238,240,0.0543815648978173,20083,1247,234,64.4748012792595,491,2560.5,0.0017174791983424,3407,80542,0.0543815648978173,64.4748012792595,491,2560.5,44.3846820423443,973,617,440,0.0318421052631579,2550,0.000273858921161826,0,0,0.130652833361162,4.90651263388743,0.930894308943089,0.0487804878048781,0.0203252032520325,10.7019979079498,0.269769043009454,0.185709966704369,18.1174580176913,10.2329801569659,16.9721676934333,10.0693527062068,0.000227495370767312,0.848383771166397,0.207101990637855,0.683959404716757,0.161095087238167
102273,78,4591,238,240,0.0676474632201292,25149,1581,234,68.6804193347711,595,2143.5,0.0021855310399849,4325,80003,0.0676474632201292,68.6804193347711,595,2143.5,39.319206502675,1087,768,533,0.0486842105263158,2126,0.000336099585062241,0,0,0.154831420410261,5.62837270023173,0.894833948339483,0.0166051660516605,0.0885608856088561,8.9572280334728,0.287365771275193,0.164515508379393,17.9615301356424,8.29251077036432,17.4556150679716,8.21306508345299,0.000283001453531042,0.869715333008511,0.329577979416601,0.716437440321755,0.263382254430303
102257,78,3180,238,240,0.0475420640941141,17124,1066,234,55.7853027239254,425,1706,0.00160627208632146,3021,80413,0.0475420640941141,55.7853027239254,425,1706,29.1204395571221,802,548,371,0.0318421052631579,1714.5,0.000243153526970954,0,0,0.174454324434872,6.26334957049136,0.869774919614148,0.045016077170418,0.0852090032154341,7.12668410041841,0.233411308468307,0.121842843335239,15.2413620493588,6.19939568733508,14.4667213567055,5.76699575592384,0.000198836437208672,0.863114410894292,0.269909630048009,0.712088180881111,0.213287207003671
102108,102,2234,238,240,0.0334335225796876,12226,737,234,51.7880295048962,303,1367.5,0.00101627752866726,2107,80847,0.0334335225796876,45.3541618817943,303,1219.5,27.459060435492,596,384,269,0.0216315789473684,1367.5,0.000169294605809129,0,0,0.125677350984492,4.98620522472254,0.944144144144144,0.0198198198198198,0.036036036036036,5.09111924686192,0.189766367706252,0.114891466257289,12.8240851347258,5.7711402695871,11.8529072543484,5.71866496818087,0.000139804324099281,0.846439526115152,0.276408630739339,0.691579584439721,0.21546170365068
102099,102,591,237,240,0.00866953208947934,2009,213,234,21.540659228538,63,194,0.000186110173556083,547,81896,0.00866953208947934,21.1896201004171,63,194,16.6433169770932,163,92,67,0.00536842105263158,190,3.02904564315353e-05,0,0,0.199595027841095,7.49865548190974,1,0,0,0.788933054393305,0.0827422867700586,0.0637200979695404,6.56699408368975,3.35206278241928,6.12068747835051,3.12631686697285,3.6188910077126e-05,0.836982927420513,0.297319932998325,0.682069898023347,0.229061976549414
102469,42,31,24,48,0.00052490234375,111,9,7,2.23606797749979,4,5.445,7.02095358829921e-07,0,82058,0,0,0,0,0,0,0,0,0,1.5,2.0746887966805e-06,0,0,NA,NA,1,0,0,-0.0227824267782427,-0.00418410041841004,-0.00418410041841004,NA,NA,NA,NA,-1.27302704359244e-07,NA,NA,NA,NA
102077,150,3831,238,240,0.056365391278523,18959,1200,234,56.5685424949238,501,1949.5,0.00157360965154428,3633,80812,0.056365391278523,56.5685424949238,501,1949.5,29.9666481275434,922,640,439,0.0390526315789474,1752,0.000265560165975104,0,0,0.159734003019314,6.35288772778606,1,0,0,8.14551255230126,0.236688462321857,0.125383464968801,15.6274542964073,6.5730168462255,15.3975197886895,6.51908069649607,0.000235796315334983,0.872163391855018,0.288345888459834,0.71990044739632,0.229980376020763
102067,102,2450,238,240,0.0353127239479082,14919,794,222,47.5394572960189,344,1205.5,0.00125801506481959,2308,80934,0.0353127239479082,47.5394572960189,344,1177.5,26.1725046566048,550,443,289,0.0297894736842105,1219.5,0.000212448132780083,0,0,0.1473663730654,5.93661782599804,0.923351158645276,0.0320855614973262,0.0445632798573975,4.9153870292887,0.198909863163259,0.109508387684539,13.0375794516291,5.20257010146538,12.4240497133459,4.96909999478147,0.000147709910220189,0.86587962993985,0.320367671785674,0.725943844325685,0.258715390651272
102181,78,3201,237,240,0.0456491552881277,18803,1081,234,53.4883164812653,435,1635.5,0.00167947895136275,2961,80518,0.0455550311731538,53.4883164812653,435,1635.5,32.7566787083184,707,559,347,0.0336315789473684,1621,0.000257261410788382,0,0,0.205270781657229,7.44569511310289,0.915137614678899,0.0298165137614679,0.055045871559633,6.8317050209205,0.223800487369311,0.137057233089198,16.3216090901905,6.85438166627537,15.8290860530076,6.65051530222504,0.000190438707810565,0.88533053694829,0.315499741957681,0.745239486570955,0.254687768794082
102233,222,1,1,5,1.04432098249718e-05,1,1,1,0,1,2.7225,2.78105339194051e-09,0,82370,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.22572379781855e-08,NA,NA,NA,NA
102199,90,122,237,240,0.00159921145799807,323,34,234,6.08276253029822,9,9,2.24119849584376e-05,103,82113,0.00153447079025246,6.08276253029822,9,9,4.12310562561766,23,18,7,0.000789473684210526,10,5.39419087136929e-06,0,0,0.493698017869944,27.3503157202642,1,0,0,0.026265690376569,0.0254508892481097,0.0172514879732957,2.9107430651039,0.884404099063977,2.77501062719154,0.853631975444878,6.37842307056749e-06,0.878306878306878,0.307317073170732,0.772486772486772,0.251219512195122
102230,162,2392,238,240,0.0352219388697934,12782,807,234,61.0982814815605,330,1383.5,0.00111166197131145,2270,81171,0.0352219388697934,61.0982814815605,330,1383.5,33.5410196624968,589,421,264,0.024,1376.5,0.000181327800829876,0,0,0.126545176345442,4.88031874934177,0.969827586206897,0.0129310344827586,0.0172413793103448,5.77731171548117,0.255641345111132,0.140338994403752,14.0865927731909,6.80693190272807,12.7686728672528,6.74229333264209,0.000147330142885614,0.856086650619528,0.242802547770701,0.709665531836584,0.192781316348195
102245,150,823,237,240,0.0119185868834423,3990,281,234,24.0208242989286,110,288.5,0.000328640741090107,791,81805,0.0119185868834423,24.0208242989286,110,288.5,15.1327459504216,184,149,93,0.00994736842105263,288,6.09958506224066e-05,0,0,0.0876456108328782,3.78672395470829,0.952941176470588,0.00588235294117647,0.0411764705882353,1.19572175732218,0.100505540999701,0.0633169286628517,7.89706854462253,2.76267175610582,7.57462672973165,2.82977586721079,4.97843679171979e-05,0.879931027971856,0.394417475728155,0.732454906956648,0.319983818770227
102071,66,1530,238,240,0.0230068897637795,7828,481,234,34.1760149812701,215,543.5,0.000726293744152407,1460,81280,0.0230068897637795,34.1760149812701,215,543.5,20.1246117974981,410,273,184,0.0150526315789474,551,0.00011701244813278,0,0,0.270253083766459,10.1855933107853,1,0,0,2.26266736401674,0.14299587858272,0.0842033966422515,9.59671054178398,4.13777678948508,9.11079378867353,4.16224636018129,9.62210959670287e-05,0.8915172416684,0.407673860911271,0.728280154520163,0.318290821887944
102244,102,1958,238,240,0.0294620423803678,11903,619,234,53.7121960079831,275,1262.5,0.000953119602096557,1877,81376,0.0294067046795124,53.7121960079831,275,1262.5,31.2409987036266,516,349,247,0.0175263157894737,1241,0.000170954356846473,0,0,0.143286954158728,6.07536791539304,0.880382775119617,0.0287081339712919,0.0909090909090909,5.27103556485356,0.224737221790724,0.130715475747392,12.8563956744696,5.37614926060462,11.9604723756734,5.35212335460518,0.000122955984048756,0.852999413179616,0.224969446272445,0.690163790005246,0.176459528062424
