"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1004","D1015","Apr 2020",0,7,1017.90176221706
"D1004","D1021","Apr 2020",0,1,1029.74448377018
"D1004","D1023","Apr 2020",0,0,612.149829553186
"D1004","D1027","Apr 2020",0,0,2843.3719570102
"D1004","D1032","Apr 2020",0,4,421.824520398178
"D1004","D1038","Apr 2020",0,299,632.033721676676
"D1004","D1040","Apr 2020",0,7,1064.76908304391
"D1004","D1041","Apr 2020",0,0,2439.20900939755
"D1004","D1042","Apr 2020",0,0,1247.26774569467
"D1015","D1004","Apr 2020",0,8,1017.90176221706
"D1015","D1021","Apr 2020",0,1,870.030686204241
"D1015","D1023","Apr 2020",0,0,598.141711738055
"D1015","D1027","Apr 2020",0,29,1825.47305300843
"D1015","D1032","Apr 2020",0,0,609.753042609799
"D1015","D1038","Apr 2020",0,2,628.163408517912
"D1015","D1040","Apr 2020",57,8907,101.849324596388
"D1015","D1041","Apr 2020",0,0,2017.37429875273
"D1015","D1042","Apr 2020",0,1123,284.517125210578
"D1021","D1004","Apr 2020",0,1,1029.74448377018
"D1021","D1015","Apr 2020",0,0,870.030686204241
"D1021","D1023","Apr 2020",0,0,485.594777753506
"D1021","D1027","Apr 2020",0,0,2322.66101639723
"D1021","D1032","Apr 2020",0,0,750.682290310648
"D1021","D1038","Apr 2020",0,318,445.456516081966
"D1021","D1040","Apr 2020",0,0,807.33979612059
"D1021","D1041","Apr 2020",0,0,1413.28549530785
"D1021","D1042","Apr 2020",0,0,1134.62719490368
"D1023","D1004","Apr 2020",0,1,612.149829553186
"D1023","D1015","Apr 2020",0,0,598.141711738055
"D1023","D1021","Apr 2020",0,1,485.594777753506
"D1023","D1027","Apr 2020",0,0,2348.26114658194
"D1023","D1032","Apr 2020",0,0,266.049256749504
"D1023","D1038","Apr 2020",11,11347,44.5306520331005
"D1023","D1040","Apr 2020",0,0,592.08223118332
"D1023","D1041","Apr 2020",0,0,1884.1519100593
"D1023","D1042","Apr 2020",0,0,880.963345493187
"D1027","D1004","Apr 2020",0,0,2843.3719570102
"D1027","D1015","Apr 2020",0,6,1825.47305300843
"D1027","D1021","Apr 2020",0,0,2322.66101639723
"D1027","D1023","Apr 2020",0,0,2348.26114658194
"D1027","D1032","Apr 2020",0,0,2430.85837257773
"D1027","D1038","Apr 2020",0,0,2360.57773094718
"D1027","D1040","Apr 2020",0,7,1784.73583031794
"D1027","D1041","Apr 2020",0,0,2422.30523133518
"D1027","D1042","Apr 2020",0,1,1621.33752334756
"D1032","D1004","Apr 2020",0,5,421.824520398178
"D1032","D1015","Apr 2020",0,0,609.753042609799
"D1032","D1021","Apr 2020",0,0,750.682290310648
"D1032","D1023","Apr 2020",0,0,266.049256749504
"D1032","D1027","Apr 2020",0,0,2430.85837257773
"D1032","D1038","Apr 2020",0,8,305.234674125064
"D1032","D1040","Apr 2020",0,0,647.107680963974
"D1032","D1041","Apr 2020",0,0,2148.85861980392
"D1032","D1042","Apr 2020",0,0,862.356591720688
"D1038","D1004","Apr 2020",0,152,632.033721676676
"D1038","D1015","Apr 2020",0,1,628.163408517912
